cpu,freq,fan,load,temp
10.4,2.3,1977,251,53.0
8.8,1.82,1977,248,53.0
9.2,0.88,1977,248,51.0
27.4,0.8,1978,248,51.0
26.7,0.8,1978,248,51.0
6.4,0.8,1977,251,51.0
11.3,0.8,1978,248,51.0
19.7,1.53,1978,248,52.0
44.9,2.24,1978,248,54.0
16.1,1.41,1977,248,52.0
6.0,0.8,1976,248,52.0
4.5,0.8,1977,248,51.0
3.6,0.8,1977,248,51.0
5.8,0.8,1977,248,51.0
5.5,0.8,1977,248,51.0
6.3,0.8,1978,248,51.0
4.0,0.8,1979,248,51.0
4.8,0.85,1979,248,51.0
3.6,1.4,1979,248,51.0
4.8,1.51,1979,248,51.0
5.0,1.4,1978,248,51.0
3.5,0.8,1979,248,51.0
4.8,0.83,1978,248,51.0
5.5,0.8,1979,248,51.0
5.0,0.8,1980,248,50.0
5.2,0.8,1981,248,50.0
4.3,0.8,1982,248,50.0
3.5,0.8,1981,248,50.0
3.3,0.8,1982,248,50.0
8.2,1.43,1982,248,50.0
4.8,1.4,1982,248,51.0
4.3,1.4,1982,248,50.0
3.0,1.4,1982,248,50.0
6.8,0.8,1982,248,50.0
3.8,0.8,1982,248,50.0
5.0,0.82,1982,248,50.0
4.0,1.4,1982,248,50.0
4.1,0.8,1982,248,49.0
3.8,0.8,1982,248,50.0
6.7,0.8,1981,248,50.0
4.0,0.8,1981,248,51.0
5.5,0.8,1981,248,51.0
3.8,0.8,1981,248,50.0
5.5,1.4,1981,248,49.0
5.2,1.4,1982,248,49.0
5.3,0.8,1982,248,50.0
3.5,0.8,1982,248,50.0
3.6,0.8,1982,248,49.0
6.5,0.85,1982,248,49.0
6.0,0.8,1982,248,49.0
3.3,0.8,1982,248,50.0
4.8,0.8,1982,248,49.0
4.8,0.8,1982,248,50.0
5.0,1.46,1982,248,50.0
3.5,1.4,1982,248,50.0
5.8,0.83,1982,248,50.0
5.0,0.83,1982,248,49.0
4.3,0.8,1982,248,49.0
6.7,0.8,1982,248,49.0
5.0,0.8,1983,248,49.0
4.3,0.8,1983,248,50.0
5.0,0.8,1983,248,49.0
6.7,0.8,1983,248,49.0
5.0,0.81,1983,248,49.0
5.0,0.8,1983,248,49.0
6.8,1.4,1982,248,49.0
3.5,1.4,1982,248,48.0
4.5,1.4,1983,248,48.0
5.0,0.8,1983,248,48.0
4.0,0.8,1982,248,48.0
4.3,1.41,1982,248,49.0
9.1,1.31,1982,248,49.0
4.7,0.8,1982,248,49.0
6.0,0.88,1982,248,49.0
6.5,0.8,1982,248,49.0
4.0,0.8,1982,248,49.0
3.8,0.8,1982,248,49.0
4.3,0.8,1982,248,49.0
4.5,1.41,1983,248,49.0
4.8,0.81,1983,248,48.0
3.5,0.83,1983,248,48.0
4.8,1.62,1983,248,49.0
4.5,1.47,1984,248,49.0
4.0,0.8,1984,248,49.0
3.3,1.4,1983,248,49.0
3.8,0.8,1983,248,48.0
3.3,0.8,1983,248,49.0
5.0,0.8,1983,248,49.0
4.3,0.86,1983,248,49.0
4.5,0.8,1983,248,48.0
5.0,1.4,1983,248,49.0
5.5,0.89,1983,248,48.0
4.5,1.41,1983,248,49.0
5.3,0.8,1984,248,48.0
5.0,0.8,1984,248,49.0
5.8,0.8,1984,248,48.0
4.8,1.45,1983,248,49.0
5.0,0.82,1983,248,48.0
4.8,0.8,1983,248,48.0
4.3,0.8,1982,248,49.0
4.6,1.29,1983,248,52.0
4.3,0.81,1983,248,49.0
5.8,1.41,1983,249,49.0
5.5,1.41,1983,249,49.0
3.5,0.8,1983,249,48.0
4.3,0.8,1984,248,49.0
3.1,0.8,1983,248,48.0
4.5,1.4,1982,248,48.0
5.5,0.85,1983,248,49.0
4.5,0.8,1983,248,49.0
5.8,0.8,1983,248,48.0
5.1,0.8,1983,248,49.0
3.5,0.8,1983,248,48.0
5.0,0.8,1984,248,49.0
6.8,0.8,1983,248,48.0
5.0,0.95,1983,248,48.0
3.3,1.41,1983,248,48.0
6.0,1.4,1983,248,49.0
5.0,1.41,1984,248,49.0
4.8,0.8,1984,248,49.0
4.6,0.96,1985,248,49.0
4.8,0.8,1985,248,48.0
